School_ID,Family_Involvement_Icon,Family_Involvement_Score,Parent_Engagement_Icon,Parent_Engagement_Score,Parent_Environment_Icon,Parent_Environment_Score
609870,NDA,NDA,NDA,NDA,NDA,NDA
609871,NDA,NDA,Strong,66,Strong,60
609872,NDA,NDA,Average,52,Average,50
609873,Weak,39,Average,49,Average,51
609874,NDA,NDA,NDA,NDA,NDA,NDA
609875,Average,40,Average,49,Strong,54
609876,NDA,NDA,Average,48,Average,50
609879,Weak,38,Average,50,Average,48
609880,Very Strong,99,Average,52,Weak,46
609881,Strong,64,Strong,55,Strong,58
609883,Weak,33,NDA,NDA,NDA,NDA
609884,Strong,66,Average,50,Average,48
609885,NDA,NDA,Average,52,Strong,58
609887,NDA,NDA,NDA,NDA,NDA,NDA
609888,Strong,61,Strong,56,Strong,57
609891,NDA,NDA,Weak,44,Average,47
609893,Strong,67,Strong,58,Weak,46
609894,Weak,20,Average,50,Average,49
609895,Average,56,NDA,NDA,NDA,NDA
609896,NDA,NDA,Strong,58,Average,48
609897,NDA,NDA,Average,53,Average,48
609898,Average,41,NDA,NDA,NDA,NDA
609899,Strong,72,Average,52,Weak,43
609900,NDA,NDA,Strong,68,Strong,70
609901,Very Strong,99,Strong,56,Weak,39
609902,NDA,NDA,Average,48,Average,50
609903,Average,48,Average,49,Average,47
609904,NDA,NDA,Average,49,Average,50
609906,NDA,NDA,Average,51,Strong,54
609907,NDA,NDA,Weak,45,Weak,45
609908,NDA,NDA,Average,49,Average,50
609909,Strong,66,NDA,NDA,NDA,NDA
609910,Weak,24,Average,49,Average,53
609912,Strong,62,Strong,55,Average,50
609913,Average,42,Weak,46,Weak,46
609916,Average,42,NDA,NDA,NDA,NDA
609917,Weak,37,Average,48,Average,53
609918,Weak,33,Weak,44,Average,53
609919,Weak,24,Average,47,Average,50
609920,Weak,37,Average,47,Average,49
609921,Average,48,Strong,55,Average,51
609922,Very Strong,81,Strong,55,Strong,54
609924,NDA,NDA,Average,47,Average,50
609925,Strong,68,Strong,59,Strong,57
609926,NDA,NDA,Strong,58,Average,48
609927,Average,41,Weak,46,Average,48
609928,NDA,NDA,Average,51,Strong,55
609929,Average,41,Weak,45,Average,49
609930,NDA,NDA,Weak,40,Average,47
609932,NDA,NDA,Average,51,Strong,55
609933,Weak,31,Weak,45,Weak,43
609935,Average,45,Average,50,Weak,44
609937,Strong,70,Strong,56,Average,49
609938,Weak,27,Weak,45,Average,48
609939,NDA,NDA,NDA,NDA,NDA,NDA
609941,NDA,NDA,Weak,45,Average,49
609942,Strong,61,Strong,57,Average,53
609943,Average,42,Average,49,Average,47
609944,Strong,66,NDA,NDA,NDA,NDA
609945,Average,52,NDA,NDA,NDA,NDA
609947,Weak,30,Average,48,Average,51
609949,NDA,NDA,Average,47,Average,50
609950,Strong,69,Average,51,Strong,55
609951,NDA,NDA,Average,51,Average,50
609952,NDA,NDA,Average,48,Strong,54
609954,Average,43,Average,49,Strong,55
609955,Average,49,Average,48,Weak,46
609956,Strong,64,Average,53,Average,49
609958,Weak,38,Average,49,Average,48
609959,Average,47,Weak,43,Weak,43
609960,Strong,63,Strong,55,Average,52
609961,NDA,NDA,Average,48,Average,49
609963,Strong,64,Strong,57,Strong,54
609964,Weak,24,Weak,44,Average,47
609966,NDA,NDA,Weak,43,Weak,45
609967,Strong,60,Average,49,Strong,54
609968,NDA,NDA,Average,52,Strong,56
609969,NDA,NDA,Average,47,Weak,44
609971,Weak,24,Average,47,Strong,55
609972,Weak,39,Weak,46,Average,51
609973,Average,52,Weak,46,Average,49
609974,Very Strong,88,Strong,58,Average,52
609975,NDA,NDA,Average,52,Strong,55
609976,Strong,61,NDA,NDA,NDA,NDA
609977,NDA,NDA,Strong,59,Strong,54
609978,Weak,24,Weak,42,Weak,46
609979,NDA,NDA,NDA,NDA,NDA,NDA
609981,NDA,NDA,Weak,45,Weak,44
609983,NDA,NDA,Weak,41,Weak,45
609985,Weak,39,Average,51,Strong,56
609986,NDA,NDA,Weak,46,Weak,44
609987,NDA,NDA,Average,51,Average,52
609988,Average,56,Average,52,Average,49
609989,Average,52,Average,50,Average,52
609990,Strong,66,Strong,54,Weak,46
609991,NDA,NDA,NDA,NDA,NDA,NDA
609993,Average,44,Average,53,Strong,58
609994,NDA,NDA,Average,49,Average,50
609995,Strong,77,Strong,55,Strong,54
609996,Average,44,Strong,54,Average,50
609997,NDA,NDA,Average,48,Average,48
610000,Average,46,Strong,57,Strong,64
610002,Strong,66,NDA,NDA,NDA,NDA
610003,Strong,60,Average,48,Average,51
610004,NDA,NDA,NDA,NDA,NDA,NDA
610005,NDA,NDA,NDA,NDA,NDA,NDA
610006,Average,56,Average,49,Weak,46
610009,Average,52,Average,49,Average,50
610010,NDA,NDA,Average,50,Weak,46
610011,Average,50,Average,52,Average,53
610012,Weak,34,Average,49,Average,53
610013,Average,40,NDA,NDA,NDA,NDA
610015,Weak,34,Average,48,Average,49
610016,NDA,NDA,Average,53,Weak,46
610017,NDA,NDA,Weak,43,Weak,42
610018,Average,55,NDA,NDA,NDA,NDA
610019,Strong,63,Strong,58,Strong,63
610020,NDA,NDA,Weak,44,Weak,45
610021,NDA,NDA,Weak,42,Weak,43
610022,Average,43,Average,49,Average,51
610023,NDA,NDA,NDA,NDA,NDA,NDA
610024,Average,58,Average,52,Strong,57
610026,NDA,NDA,Average,50,Average,48
610027,NDA,NDA,Average,53,Average,51
610028,Weak,26,Average,47,Weak,45
610029,NDA,NDA,Weak,45,Average,53
610030,NDA,NDA,Weak,39,Weak,42
610031,Average,53,Average,52,Average,52
610032,NDA,NDA,Average,53,Average,47
610033,Strong,79,Average,53,Average,48
610034,NDA,NDA,NDA,NDA,NDA,NDA
610036,Weak,37,Weak,42,Weak,43
610037,NDA,NDA,Average,48,Average,52
610038,Very Strong,99,Strong,56,Average,47
610039,Average,49,Average,50,Strong,55
610040,NDA,NDA,Average,48,Average,51
610041,Average,47,Average,47,Average,50
610043,NDA,NDA,Average,49,Weak,45
610044,NDA,NDA,Weak,45,Average,52
610045,Weak,29,NDA,NDA,NDA,NDA
610046,NDA,NDA,Weak,45,Average,51
610047,NDA,NDA,NDA,NDA,NDA,NDA
610048,NDA,NDA,Weak,42,Weak,44
610051,NDA,NDA,NDA,NDA,NDA,NDA
610052,Weak,31,Weak,44,Weak,46
610053,NDA,NDA,Weak,43,Weak,46
610054,Average,53,Average,50,Strong,55
610055,NDA,NDA,Average,50,Average,50
610056,Average,47,Average,51,Strong,54
610057,Weak,24,NDA,NDA,NDA,NDA
610058,NDA,NDA,NDA,NDA,NDA,NDA
610059,NDA,NDA,NDA,NDA,NDA,NDA
610060,NDA,NDA,NDA,NDA,NDA,NDA
610061,Average,55,Average,50,Strong,55
610062,NDA,NDA,Average,53,Average,47
610063,Strong,60,Average,52,Strong,56
610065,Weak,31,Average,47,Average,48
610066,NDA,NDA,Strong,61,Average,52
610067,Average,48,Average,48,Average,51
610068,NDA,NDA,Average,50,Average,47
610070,NDA,NDA,Average,52,Strong,54
610072,Weak,38,Average,47,Weak,46
610073,Strong,64,Strong,56,Strong,54
610074,NDA,NDA,Average,47,Average,47
610075,NDA,NDA,Weak,46,Strong,54
610076,Weak,34,NDA,NDA,NDA,NDA
610077,Weak,25,Weak,44,Average,49
610078,NDA,NDA,Average,51,Average,47
610081,Average,59,Strong,55,Average,51
610082,NDA,NDA,NDA,NDA,NDA,NDA
610083,NDA,NDA,Strong,57,Strong,58
610084,Very Strong,97,Strong,68,Strong,60
610085,NDA,NDA,NDA,NDA,NDA,NDA
610086,Weak,26,Average,47,Average,52
610087,Strong,64,Strong,58,Strong,65
610088,NDA,NDA,Average,50,Strong,54
610089,NDA,NDA,Strong,58,Strong,54
610090,NDA,NDA,Strong,56,Average,53
610091,Weak,26,Average,52,Strong,55
610092,NDA,NDA,NDA,NDA,NDA,NDA
610093,Average,41,Average,52,Average,53
610094,NDA,NDA,NDA,NDA,NDA,NDA
610095,Strong,74,Strong,54,Average,47
610096,Average,54,Average,48,Average,48
610097,NDA,NDA,Weak,46,Average,47
610098,Weak,34,Average,48,Average,51
610099,Very Strong,86,Strong,57,Average,52
610100,NDA,NDA,Weak,46,Average,47
610101,NDA,NDA,NDA,NDA,NDA,NDA
610102,Average,40,Weak,46,Weak,46
610103,NDA,NDA,Weak,40,Weak,43
610104,Average,59,Average,47,Weak,44
610105,NDA,NDA,Strong,60,Weak,46
610106,NDA,NDA,NDA,NDA,NDA,NDA
610107,Very Strong,92,Strong,54,Strong,54
610108,NDA,NDA,Weak,45,Average,47
610109,Strong,61,Strong,58,Average,53
610110,NDA,NDA,NDA,NDA,NDA,NDA
610111,NDA,NDA,Strong,65,Strong,61
610112,NDA,NDA,Average,48,Average,51
610114,Weak,25,NDA,NDA,NDA,NDA
610115,Average,42,Strong,55,Strong,54
610116,NDA,NDA,Weak,42,Weak,43
610117,NDA,NDA,NDA,NDA,NDA,NDA
610119,Average,58,Average,52,Average,49
610120,Average,43,Weak,44,Weak,43
610121,NDA,NDA,Average,48,Average,49
610122,NDA,NDA,Average,47,Average,47
610123,NDA,NDA,Average,52,Average,53
610124,NDA,NDA,Average,47,Average,49
610125,Average,59,Average,50,Average,51
610126,Very Strong,90,NDA,NDA,NDA,NDA
610127,NDA,NDA,Average,51,Average,48
610128,NDA,NDA,Average,49,Average,51
610129,Weak,36,Average,48,Strong,54
610130,Average,44,NDA,NDA,NDA,NDA
610131,NDA,NDA,Weak,45,Weak,41
610132,Weak,33,Strong,55,Average,47
610133,NDA,NDA,NDA,NDA,NDA,NDA
610134,NDA,NDA,NDA,NDA,NDA,NDA
610135,NDA,NDA,Average,48,Average,53
610136,NDA,NDA,Average,50,Average,48
610137,NDA,NDA,Weak,43,Weak,44
610138,Average,45,Average,47,Average,47
610139,NDA,NDA,Average,50,Average,49
610141,NDA,NDA,Average,53,Weak,44
610142,NDA,NDA,Average,50,Weak,46
610143,Very Weak,6,Weak,45,Average,47
610144,NDA,NDA,Average,48,Average,51
610145,Average,51,Average,47,Weak,45
610146,NDA,NDA,Average,49,Average,47
610147,Strong,76,Average,53,Average,51
610148,Average,52,Weak,45,Average,51
610150,NDA,NDA,Weak,37,Weak,44
610152,NDA,NDA,Average,48,Weak,46
610153,NDA,NDA,NDA,NDA,NDA,NDA
610154,Weak,32,Weak,45,Average,48
610155,NDA,NDA,NDA,NDA,NDA,NDA
610156,NDA,NDA,Strong,59,Average,53
610157,Weak,30,Average,49,Average,52
610158,NDA,NDA,Weak,44,Average,49
610159,NDA,NDA,Average,48,Weak,44
610160,NDA,NDA,Weak,46,Weak,46
610161,NDA,NDA,Average,53,Average,52
610163,Very Strong,99,Strong,69,Strong,63
610165,Weak,31,Average,47,Average,49
610167,Average,43,Average,49,Average,50
610169,NDA,NDA,Weak,46,Weak,44
610170,Strong,64,Average,52,Strong,55
610171,NDA,NDA,Average,48,Average,51
610172,NDA,NDA,Average,49,Average,52
610173,NDA,NDA,Average,51,Strong,56
610174,NDA,NDA,Average,50,Average,50
610175,Average,54,Average,49,Weak,45
610176,Average,47,Average,52,Strong,54
610177,NDA,NDA,NDA,NDA,NDA,NDA
610178,NDA,NDA,Weak,41,Average,52
610179,NDA,NDA,NDA,NDA,NDA,NDA
610180,NDA,NDA,Weak,43,Average,52
610182,Very Strong,96,Average,52,Average,51
610183,Average,50,Average,50,Strong,55
610184,Average,59,Weak,46,Average,48
610185,NDA,NDA,Average,47,Weak,41
610187,NDA,NDA,Average,47,Average,52
610188,Average,53,Average,49,Average,47
610189,NDA,NDA,NDA,NDA,NDA,NDA
610191,NDA,NDA,Strong,55,Average,47
610192,NDA,NDA,Weak,44,Strong,54
610193,Average,42,Average,47,Strong,54
610194,Weak,27,Average,48,Weak,46
610195,NDA,NDA,Average,50,Weak,40
610196,Average,53,Average,49,Strong,54
610197,Average,58,Average,51,Average,49
610198,NDA,NDA,Weak,42,Weak,45
610199,NDA,NDA,Average,53,Strong,57
610200,NDA,NDA,NDA,NDA,NDA,NDA
610201,Strong,61,Average,50,Average,50
610202,Weak,25,Average,51,Average,49
610203,Average,44,Average,49,Average,49
610205,NDA,NDA,Average,50,Strong,55
610206,Strong,76,Strong,60,Strong,60
610207,NDA,NDA,Strong,55,Average,50
610208,Weak,35,Average,48,Average,51
610209,Strong,61,Average,51,Average,53
610210,NDA,NDA,Weak,43,Weak,44
610212,Weak,37,Weak,46,Average,51
610213,NDA,NDA,Average,47,Average,49
610215,Weak,32,Average,47,Average,52
610216,NDA,NDA,Average,48,Average,53
610217,Strong,65,Average,48,Weak,43
610218,Average,55,Weak,46,Average,50
610219,Strong,61,Average,52,Average,51
610220,NDA,NDA,Average,52,Average,49
610221,Average,56,Weak,45,Strong,55
610223,Weak,32,NDA,NDA,NDA,NDA
610224,Average,46,Average,47,Weak,44
610225,Weak,32,Average,52,Strong,55
610226,NDA,NDA,Weak,44,Average,50
610227,NDA,NDA,NDA,NDA,NDA,NDA
610228,NDA,NDA,NDA,NDA,NDA,NDA
610229,NDA,NDA,NDA,NDA,NDA,NDA
610230,Very Strong,90,Strong,55,Weak,37
610231,Strong,70,Strong,56,Strong,61
610232,NDA,NDA,Average,50,Average,50
610233,Weak,35,Average,49,Average,47
610234,NDA,NDA,Average,51,Strong,55
610235,NDA,NDA,Weak,44,Average,47
610237,NDA,NDA,Weak,46,Average,52
610238,Average,49,Average,53,Average,52
610239,Average,40,Weak,46,Average,47
610240,NDA,NDA,Strong,55,Strong,63
610241,NDA,NDA,Average,52,Average,52
610242,Average,56,Average,53,Strong,59
610243,Average,51,Weak,43,Average,48
610244,NDA,NDA,Average,48,Weak,36
610245,NDA,NDA,Average,50,Weak,44
610246,NDA,NDA,Weak,42,Weak,45
610248,NDA,NDA,Average,47,Average,51
610249,Very Strong,99,Strong,57,Average,48
610250,NDA,NDA,Average,52,Average,47
610251,Strong,70,Strong,56,Average,53
610252,NDA,NDA,Average,51,Strong,57
610253,NDA,NDA,Weak,40,Average,50
610254,Weak,22,NDA,NDA,NDA,NDA
610256,NDA,NDA,Weak,45,Average,47
610257,Average,49,Average,52,Strong,59
610258,NDA,NDA,Weak,46,Average,47
610263,Weak,22,Average,51,Strong,55
610264,NDA,NDA,Average,47,Average,51
610265,NDA,NDA,NDA,NDA,NDA,NDA
610266,NDA,NDA,Average,48,Average,53
610268,NDA,NDA,Weak,39,Weak,46
610269,Weak,36,Average,52,Average,53
610271,Average,41,Weak,46,Average,47
610273,NDA,NDA,Weak,46,Average,47
610274,Weak,38,Average,51,Strong,54
610276,NDA,NDA,Average,52,Average,50
610277,NDA,NDA,Average,52,Strong,55
610279,NDA,NDA,NDA,NDA,NDA,NDA
610280,NDA,NDA,NDA,NDA,NDA,NDA
610281,Strong,66,Weak,46,Average,50
610282,Weak,30,Average,47,Average,53
610283,NDA,NDA,Average,48,Average,47
610284,NDA,NDA,Average,51,Strong,56
610285,NDA,NDA,Average,48,Average,49
610287,Strong,76,Average,51,Average,50
610290,Weak,23,NDA,NDA,NDA,NDA
610291,NDA,NDA,NDA,NDA,NDA,NDA
610293,NDA,NDA,NDA,NDA,NDA,NDA
610295,NDA,NDA,Average,49,Average,53
610297,Weak,30,Weak,42,Weak,31
610298,Average,58,Average,52,Average,52
610299,NDA,NDA,Weak,45,Average,50
610300,Average,41,Weak,46,Average,48
610304,NDA,NDA,Average,52,Average,48
610305,Strong,71,Strong,60,Average,53
610308,NDA,NDA,Strong,57,Strong,60
610312,Average,49,NDA,NDA,NDA,NDA
610313,Average,53,Average,53,Strong,54
610315,NDA,NDA,Average,51,Weak,46
610316,Strong,63,NDA,NDA,NDA,NDA
610317,NDA,NDA,NDA,NDA,NDA,NDA
610319,Average,58,Weak,43,Average,48
610320,NDA,NDA,Average,53,Strong,57
610321,NDA,NDA,NDA,NDA,NDA,NDA
610323,Weak,23,NDA,NDA,NDA,NDA
610325,NDA,NDA,Average,50,Average,51
610329,NDA,NDA,Average,50,Average,53
610334,NDA,NDA,NDA,NDA,NDA,NDA
610336,NDA,NDA,Average,53,Strong,56
610339,Weak,35,Weak,44,Average,50
610340,Weak,35,NDA,NDA,NDA,NDA
610342,NDA,NDA,NDA,NDA,NDA,NDA
610345,Weak,27,Weak,44,Average,47
610347,Weak,33,Weak,46,Average,52
610348,NDA,NDA,Average,53,Strong,58
610350,NDA,NDA,Strong,55,Weak,46
610352,Strong,74,Average,53,Weak,38
610353,Strong,67,Average,51,Strong,57
610354,Strong,60,Average,50,Average,51
610355,NDA,NDA,Strong,59,Average,49
610357,NDA,NDA,Strong,56,Average,51
610362,NDA,NDA,Strong,56,Strong,55
610363,NDA,NDA,NDA,NDA,NDA,NDA
610364,NDA,NDA,Average,50,Weak,45
610365,Average,47,Strong,56,Strong,58
610366,NDA,NDA,Average,50,Weak,41
610367,Weak,39,Average,47,Strong,54
610368,Average,54,Weak,46,Strong,56
610369,NDA,NDA,Weak,46,Average,51
610380,NDA,NDA,NDA,NDA,NDA,NDA
610381,Weak,38,Average,51,Weak,43
610383,Strong,72,Average,53,Weak,46
610384,NDA,NDA,Average,51,Average,48
610385,NDA,NDA,Strong,56,Average,52
610389,NDA,NDA,NDA,NDA,NDA,NDA
610390,NDA,NDA,Average,53,Average,48
610391,NDA,NDA,Strong,55,Average,51
610392,Weak,33,Average,50,Weak,46
610394,Average,50,NDA,NDA,NDA,NDA
610395,Average,53,NDA,NDA,NDA,NDA
610396,NDA,NDA,Average,49,Strong,56
610402,NDA,NDA,Strong,58,Strong,55
610405,NDA,NDA,NDA,NDA,NDA,NDA
610499,Average,42,Strong,54,Strong,56
610501,NDA,NDA,NDA,NDA,NDA,NDA
610502,Average,49,Strong,54,Average,49
610503,Average,55,Strong,66,Strong,65
610504,NDA,NDA,Strong,55,Strong,57
610506,Average,48,Strong,58,Average,49
610513,Strong,60,Average,53,Average,49
610515,Very Strong,99,Strong,62,Strong,58
610518,NDA,NDA,NDA,NDA,NDA,NDA
610520,Very Strong,81,Strong,55,Average,51
610521,NDA,NDA,NDA,NDA,NDA,NDA
610523,NDA,NDA,Strong,56,Weak,46
610524,NDA,NDA,Strong,57,Weak,43
610529,NDA,NDA,NDA,NDA,NDA,NDA
610530,NDA,NDA,Strong,56,Strong,55
610532,Weak,34,NDA,NDA,NDA,NDA
610533,NDA,NDA,Average,52,Strong,58
610534,NDA,NDA,Strong,64,Average,52
610535,NDA,NDA,Average,50,Average,47
610539,Average,58,Average,51,Strong,55
610541,Average,58,Average,51,Strong,59
610542,NDA,NDA,Weak,46,Strong,58
610543,Average,54,Average,53,Strong,56
610544,Very Strong,96,Average,47,Strong,58
